app,date,score,content
Coupang Eats,2025-12-10 13:07:32,5,여러가지 배답앱중에는 현재 가장 쓸만함
Coupang Eats,2025-12-10 13:07:21,5,뉴욕버거 화이팅입니다♡
Coupang Eats,2025-12-10 12:45:36,5,무료로 즐길 수 있어 너무 좋습니다><
Coupang Eats,2025-12-10 11:51:28,1,미쿡기업.. 배째라 기업. 반성 없는기업.
Coupang Eats,2025-12-10 11:45:16,1,wow 회원 가입할려고 하는데 자꾸 오류 뜬다고 마치 회원 가입 하지 말라고 바지끄댕이 잡는거 같아서 기분 개더려웠습니다.
Coupang Eats,2025-12-10 02:22:11,5,"서비스도 좋고,배송도 신속 정확합니다"
Coupang Eats,2025-12-10 01:22:57,5,배민보다 훨씬좋아요
Coupang Eats,2025-12-09 23:14:25,4,매콤한 콥창 땡길때 추천!!
Coupang Eats,2025-12-09 22:34:17,5,앱 사용하기 편리합니다
Coupang Eats,2025-12-09 22:24:25,1,"소비자의 개인정보 유출과 그에 대한 대응은 역겹고 중소기업, 자영업자 등꼴 뽑아먹는 악덕 괴물 외국기업이라 탈삭합니다."
Coupang Eats,2025-12-09 21:59:06,1,한집배달 시키면 절대 한집으로 안옴 2-3개 묶어다님 사기꾼임
Coupang Eats,2025-12-09 21:08:11,1,배달에서 실수가 있었을때 대처가 불만족스러워요
Coupang Eats,2025-12-09 19:36:32,5,맛있고 배달도 만족
Coupang Eats,2025-12-09 19:13:27,1,쓰레기 한집시켜도 다른집조리대기상태내음식조리완료된상태 기사가 먼저픽업지 조리대기동안내음식은 식어가고잇음ㅋㅋ 근대어쨋든 다른집 픽업먼저하고 내꺼 픽업해서 내꺼먼저주면 한집이라는 눈속임 아오 ㅋ ㅋ첫집 조대10분걸리믄 내음식은 매장에서 10분이상 식어가는시스템 고객들은 알까?ㅋㅋㅋ
Coupang Eats,2025-12-09 17:20:19,5,배달비 저렴하고 배달도 빠르고 동네맛집도 많아요~~
Coupang Eats,2025-12-09 16:17:40,1,개인정보 지켜는게 먼저
Coupang Eats,2025-12-09 12:45:22,1,쿠팡에서 리뷰쓰기 필요해서 설치했는데 상담사도 불친절하고 '준비중'인 가게들도 너무많고 품절이라고 주문취소하는 가게도 많고 앱도 불편하다 상담사 불친절하고 거짓말해서 삭제하는게 제일크다. 다 보이는 거짓말 하는게 웃겼는데 계속 거짓말해서 그냥 삭제함. 상담사님 그래살지 마쇼
Coupang Eats,2025-12-09 12:34:34,5,"변함없는 맛 , 신속 배달"
Coupang Eats,2025-12-09 02:38:21,5,굿 진짜 배달업플중에서 진짜 최고입니다
Coupang Eats,2025-12-09 00:29:45,5,맛난집에 연결해주셔서 감사합니다~~~
Coupang Eats,2025-12-08 22:32:06,5,1인분 배달 등 유용한 서비스가 많다 다양한 음식들도 많고 쿠팡과 연계하여 배달비 등의 여러 혜택도 많다
Coupang Eats,2025-12-08 21:49:05,5,구팡이츠 무료라 잘쓰긴하는데 ...흠...요기요보다 들횔성화된것같아요
Coupang Eats,2025-12-08 20:53:48,5,"배달한 음식도 맛도 깔끔하고 첫주문인데 만족했고, 다음에 또주문할려고요~^^ (음로선택에서) 콜라가 빠져서 왔더군요! 귀엽게 봐드릴게요^^ 담에는 콜라 잊지마셔요~~~"
Coupang Eats,2025-12-08 19:04:49,5,이용중인데 불편한점 없이 이용중입니다~~
Coupang Eats,2025-12-08 18:16:27,1,상담사가 대화 도중 선종료하는건 또 처음이네요
Coupang Eats,2025-12-08 18:12:26,4,할인쿠폰 잘 사용해습니다
Coupang Eats,2025-12-08 17:29:31,3,잘못 눌렀을 때 즉시 취소가 어렵습니다.
Coupang Eats,2025-12-08 16:48:46,1,배달기사 관리 개판
Coupang Eats,2025-12-08 16:43:07,5,개인적으로 다른 배달앱보다 좋은 앱
Coupang Eats,2025-12-08 15:11:07,1,악의적인 리뷰가 아닌 사실에 근거하여 사진까지 게시해도 업장에서 게시글 중단요청만 수렴하는데 소비자측은 그냥 당하란 소린가? 쿠팡이츠만이 아니라 쿠팡도 똑같다. 와우회원 자동결제했었는데 날짜 남았어도그만둔다.
Coupang Eats,2025-12-08 11:46:56,1,쿠팡이츠 그냥 미국가서 사업해라! 안쓰다
Coupang Eats,2025-12-08 10:39:35,5,많은 혜태과 포인트 적립이 높아서 좋아요
Coupang Eats,2025-12-08 08:59:31,1,쿠팡 그냥 미국가서 장사해라~ 아니면 중국가던지.
Coupang Eats,2025-12-08 00:44:52,3,다좋은데 배달원 일부론지 뭔지 계속 벨 누르지 말라는데도 눌러서 피해주는거 방책 마련해주시기 바랍니다.
Coupang Eats,2025-12-07 23:27:54,5,잘사용하고 있어요.
Coupang Eats,2025-12-07 22:41:34,5,배민보다 나은거죵?
Coupang Eats,2025-12-07 21:03:25,5,배달의 민족보다 좋아요. 쿠팡이랑 연계되서 혜택도 많아요
Coupang Eats,2025-12-07 20:47:26,1,"1인 배달 결제시 결제 전 목록 가격과 상이한게 이상하네요, 마치 싼가격에 미끼로 올려놓고 살짝 비싸게 파는 미끼 매물 같아요 ㅋㅋ 그냥 정직한 가격으로 올려주세요, 결제하려고 보니 좀 짜증나네요"
Coupang Eats,2025-12-07 20:23:29,5,유익하고 편리하고 요긴하네요.
Coupang Eats,2025-12-07 20:22:03,1,왜 니들 맘대로 로그인해지함?
Coupang Eats,2025-12-07 18:22:55,1,개인정보 유출하는 어플. 책임 회피하는 모습 보임. 쿠폰은 쏠쏠.
Coupang Eats,2025-12-07 17:45:49,5,배달앱 요거만 써요
Coupang Eats,2025-12-07 17:13:46,4,쿠팡과 쿠팡이츠도 다른 결제 어플 앱과 유동되었으면 더 좋겠습니다.
Coupang Eats,2025-12-07 17:09:17,2,해킹때매 카드 등록 못하겠어서 해제 했더니 카드등록 안하면 결제 안된다길래 그만 쓰려고 합니다
Coupang Eats,2025-12-07 16:11:34,5,곡물빵도 맛있고 케이크도 부드럽고 맛있어요. 배송도 빠르고 좋아요.
Coupang Eats,2025-12-07 15:50:03,4,배민에 비해 혜택이 부족해서 거의 쓰진 않아요. 쿠팡회원만 무료배달이고 아닌사람은 다 배달비 있고... 할인 혜택이나 이벤트도 잘 없어서요 ㅠㅠ
Coupang Eats,2025-12-07 15:38:45,1,요새 음식이 주문할때마다 쉴세없이 누락하네요 이런식으로 누락하고 자꾸 고객센터에서는 메뉴를 주문한적이 없고 결제 한적도 없다고 하고 메뉴 주문했던 매장에서는 종이에 메뉴랑 결제 내역이 적혀있고 어이가없네요 다음에 이런식이면 저도 김앤장 선임해서 소장 접수하겠습니다 아주 개판이네요 못 참겠습니다 다른사람에게는 이러지 마세요 정말 너무하네요 다음에는 쿠팡이츠로 주문 안하겠습니다.
Coupang Eats,2025-12-07 15:31:14,5,좋아 합니다. 이번에는 진짜라고요.
Coupang Eats,2025-12-07 15:25:03,5,항상 맛있는집 특히 탕수육소스 최고
Coupang Eats,2025-12-07 15:14:03,5,바스크 치즈 케이크 진하고 밀도 높아 맛있습니다!!
Coupang Eats,2025-12-07 14:22:45,5,아니배x콜센터도 안받고채팅도안받고 쿠팡이츠가젤 편한데제발유출 논란좀줄어들게 노력좀부탁드립니다 쿠팡안가입할수없는게연동해야되서 ㅜ그건좀불편한데 ㅜ
Coupang Eats,2025-12-07 14:01:44,1,망해야하는 기업 쿠팡
Coupang Eats,2025-12-07 12:25:10,5,늘 잘 이용하고 있어요👍👍
Coupang Eats,2025-12-07 12:05:22,5,사용하기펀하고 좋아요
Coupang Eats,2025-12-07 09:40:16,5,배민보다 훨씬 나음
Coupang Eats,2025-12-07 02:56:53,1,나의 개인정보가 날라간다
Coupang Eats,2025-12-06 23:33:29,5,"최고의 기업, 꼭 필요한 기업"
Coupang Eats,2025-12-06 21:34:06,5,무료에 할인되거 넘 유용하게 사용하고있어요
Coupang Eats,2025-12-06 21:12:35,5,배달비 무료 최고~
Coupang Eats,2025-12-06 20:48:52,3,사장님만 보기가 있음 좋을듯
Coupang Eats,2025-12-06 20:38:10,5,와우회원 공짜임. 개이득
Coupang Eats,2025-12-06 19:08:33,5,사용자에게 편합니다.
Coupang Eats,2025-12-06 19:06:26,5,와우멤버쉽이면 너무좋은 배달어플
Coupang Eats,2025-12-06 18:35:36,5,일관성이 조금부족하지만 많이편리해졌어요
Coupang Eats,2025-12-06 18:33:55,5,앱사용이 편리해요.
Coupang Eats,2025-12-06 18:31:53,5,"곱창 너무 사랑하는 일인자로 처음으로 여기 시켜 밧는데,정말 곱도 많은데 느끼함 없고 깔끔한맛!!"
Coupang Eats,2025-12-06 17:10:46,5,사용하기 아주 편리해요
Coupang Eats,2025-12-06 16:47:04,5,간편하고 빠고 좋습..
Coupang Eats,2025-12-06 16:42:59,5,양도많고 맛도있고 적당히 맵구요ㆍ입맛나게 맛있었어요ㆍ배달도 사장님께서직접가져다주셨어요ㆍ 완전 짱이예요ㆍ 오랫만에 맛있는 남도음식 먹어서좋았어요ㆍ
Coupang Eats,2025-12-06 16:11:02,1,회원탈퇴 누르면 먹통돼요. 탈퇴하고 싶은데 아무것도 안떠요
Coupang Eats,2025-12-06 16:07:17,5,"회사에서 사고 및 이슈 벌어진 거 떼놓고 말하자면 어플기능이나 CS응대가 아주 훌륭한 기업 또한 로켓 와우로 쿠팡플레이, 쿠팡, 쿠팡이츠로 로켓 와우 서비스 값이 아깝지 않음 타 앱기능에 비해 CS응대률이 매우 빠르고 보상성도 좋아 앱 잘 이용하고 있음-! 다만 아쉬운게 있다면 타 배000 업체에 비해 입점된 업체가 적다라는게 아쉬움 그런 아쉬움이 있지만 쿠팡이츠에서만 시키는 이유가 있음 👍"
Coupang Eats,2025-12-06 15:43:43,5,안드로이드 16 qpr1에서 변경 된 파일 권한(사진 및 동영상)이 호환이 되지않아 사진리뷰를 할 수 가 없습니다.
Coupang Eats,2025-12-06 15:22:22,1,개인정보 털리는 븅sin 기업
Coupang Eats,2025-12-06 14:20:57,5,잘쓰고있습니다. 광고가 좀 귀찮긴함
Coupang Eats,2025-12-06 14:12:37,5,음식 배달은 쿠팡미츠가 좋네요~^^
Coupang Eats,2025-12-06 13:24:21,5,행사가 많아서 좋아요
Coupang Eats,2025-12-06 13:03:21,5,쵝오의 배달앱 가즈아!!!
Coupang Eats,2025-12-06 11:06:48,3,좋은데 결재까지 다 했지만 매장에서 재고부족이라며 수락을 안하고 거절하면 아무런 팝업이나 알림도 안뜨고 그 주문화면에서 멈춰있고 장바구니나 내주문페이지에도 없는 이상한 상태로 되어버리네요 개선바랍니다.
Coupang Eats,2025-12-06 10:06:39,1,별하나도 아깝네요. 배달 잘 못 와서 연락하려고 해도 AI만 연결되고 그것도 지연되서 음식은 식어가고 취소하려고 해도 안돼서 직접 매장연락처 찾아서 ...쓰레기 앱
Coupang Eats,2025-12-05 21:50:12,1,포장지도 왜 없앴냐 ㅉㅉ
Coupang Eats,2025-12-05 20:23:43,1,고객센터가 불친절함 대기인원이 많다고 채팅치는데 종료해버림 치는데 15초 정도 걸렸는데 바쁘면 인원을 늘려야지 해킹도 당하고 여러모로 개판임
Coupang Eats,2025-12-05 20:16:47,1,양심 제로 외국기업 쿠팡. 우리 정보 뿌려진걸 몇달씩이나 감춰?
Coupang Eats,2025-12-05 19:58:03,4,매번 느끼지만 앱 의 음식 내용배치가 어수선해 거부감 생김
Coupang Eats,2025-12-05 18:45:06,1,회원탈퇴 안되는데?
Coupang Eats,2025-12-05 18:45:03,1,맛은있네요 영혼없는대답 죄송
Coupang Eats,2025-12-05 18:43:56,1,배달 주소를 잘보고 배달해주셨음 합니다
Coupang Eats,2025-12-05 18:20:07,1,결제실수 했는데 바로 주문 취소 누르려 하니 결제후에 홈화면으로 나와져버려요... 사소한건데 최소한 결제 완료후에 수정이나 확인할수 있게끔 만들어줘요.. 원클릭 결제는 편하다만...
Coupang Eats,2025-12-05 18:19:05,5,항상 믿고 배달시켜먹어요. 요청사항도 잘 들어주시고 시간도 잘 지켜주셔서 감사합니다 번창하세요~~♡♡♡♡♡
Coupang Eats,2025-12-05 18:12:20,5,잘 사용하고 있습니다~! ㅋㅋ
Coupang Eats,2025-12-05 14:29:16,5,배× 왜 사용했는지 모르겠네
Coupang Eats,2025-12-05 13:24:53,5,배달시간도 빠른편이고 무료배송 좋아요!
Coupang Eats,2025-12-05 12:58:40,5,편하고 쉬움 사용하기.
Coupang Eats,2025-12-05 12:33:05,1,내 콜라 2500원 주던지 환불해주던지 하라고요 전화할수 있는곳도 없고 리포트는 넣었는데 응답도 없고 묵묵부답인데 뭐가 이럼? 먹튀를 하고 있어 무슨
Coupang Eats,2025-12-05 11:05:53,5,와우회원 무료배송 최고
Coupang Eats,2025-12-05 10:38:31,1,내정보 유출한거 책임져라 미국 회사라고 책임 못진다??? 한국이 만만하지?
Coupang Eats,2025-12-05 10:36:03,1,드러운 쿠팽 내 개인정보및 3천5만명이상 털리고 죄의식 없이 영업해서 아주 불안해서
Coupang Eats,2025-12-05 09:44:15,1,왜 탈퇴가 안될까요??
Coupang Eats,2025-12-04 20:47:08,1,고객정보관리도 못하는 회사
Coupang Eats,2025-12-04 20:29:01,1,쿠팡 서비스 엉망이네
Coupang Eats,2025-12-04 16:11:02,5,개인정보 안심도 되고 무배라 대접받으며 음식을 먹으니 기쁨이 두배로 느껴져요^^
Coupang Eats,2025-12-04 15:52:58,5,너무 맛있다고 난리예요 감사합니다
Coupang Eats,2025-12-04 09:55:46,1,"쿠팡의 유료화 정책 후 이용료를 올렸기에 해당 앱을 지웠고, 쿠팡 관련 앱은 이제 더 이상 사용하지 않고 탈퇴 하였습니다. 1점도 아깝습니다."
Coupang Eats,2025-12-04 09:27:52,5,배민 버리고 이츠만 쓰고 있는데 갤럭시에 나우바 업데이트 바랍니다!!
Coupang Eats,2025-12-04 08:53:38,5,편리하게 잘 이용하고있숨돠
Coupang Eats,2025-12-04 08:25:05,1,개인정보 유출하는 회사 꺼져라.
Coupang Eats,2025-12-04 02:58:15,1,아니 주문하기 누르면 아묻따 결제냐고. 배민만 쓰다가 쿠폰 쓸수 있는거 확인해보려고 주문하기 눌렀다가 바로 결제됨. 가게 주인측에서 주문수락도 빨리 눌러서 취소도 안됨. 졸지에 새벽 세시에 팥빙수 사먹는 사람됐음
Coupang Eats,2025-12-04 01:05:13,3,주문 접수하고 먼저 요리하는 게 아니라 배달원이 잡히면 그때 요리할 수 있게 해주세요 요리는 이미 완성이고 배달원이 없다면 음식은 식고 먹을 수 없게 되니 이점이 아쉽더라고요 해외 배달 앱 그랩 배달 시스템이 그렇더라고요 그래서 우리도 이렇게 하면 좋을 거 같아서요
Coupang Eats,2025-12-03 23:45:22,5,맛있어서 재주문합니다 강추합니다
Coupang Eats,2025-12-03 20:28:47,1,문어발 사업하고 개인정보 관리는 안하는 회사
Coupang Eats,2025-12-03 20:19:44,1,한국에서 중국인한테 개인정보 팔아먹는 미국기업???
Coupang Eats,2025-12-03 20:05:04,5,타싸이트 어플보다 훨씬 좋음 배달료가
Coupang Eats,2025-12-03 19:24:58,5,쉽고 빠른 비교 쉽고 빠른 주문 쉽고 빠른 결제 무료배송과 할인쿠폰이 많아좋고 상시 배달위치 확인 되어 좋음. 그러나 각종 체인점 홈페이지와 가격비교는 필수! 1+1과 반값특가의 특가를 누릴수 없는 단점.
Coupang Eats,2025-12-03 18:31:51,5,신속하거 정확한쇼핑 좋아여💯👍💯
Coupang Eats,2025-12-03 18:31:42,5,배달이 빨라요...
Coupang Eats,2025-12-03 18:03:30,5,잘 사용하고 있어요~^^
Coupang Eats,2025-12-03 16:22:15,5,빠른배송 무난하다 초심을 잃지않기를
Coupang Eats,2025-12-03 14:42:26,5,업데이트도 바로바로되고 쿠팡이여 영언하라~
Coupang Eats,2025-12-03 11:59:08,2,라이더님들 한집배달 관리좀 하세요!! 분명 한집배달하고 천원결제했는데 여기저기 다 들렀다가 오는 기사님 너무많으심
Coupang Eats,2025-12-03 11:38:44,5,역시 쿠팡 쿠팡이 쿠팡했다
Coupang Eats,2025-12-03 08:51:23,1,탈퇴할려는데 탈퇴하기 누르면 빈화면만 뜨네요~
Coupang Eats,2025-12-03 01:53:16,5,배달잘안시켜먹는데 쿠팡이츠는 혜택과 포인트가득
Coupang Eats,2025-12-03 00:50:32,1,별하나도 아까움.. 고객 정보 관리 비용 아껴서 너네 배 지방 채우 냐?
Coupang Eats,2025-12-02 21:28:04,1,개인정보 무단유출 회사는 석고대죄하라.
Coupang Eats,2025-12-02 20:12:32,3,배달 라이더분들이 좀더 세심하면 좋을것 같아요. 배달을 받는게 아니라 집앞에 던져 놓고 가는듯한 느낌을 받을때가 종종 있네요
Coupang Eats,2025-12-02 19:21:10,5,좋음좋음좋음좋음좋음
Coupang Eats,2025-12-02 19:08:57,1,개인정보 보안 관리좀 합시다 겁나서 쿠팡 쓰겠나 전에 별점 2점이었는데 1점으로 낮춤
Coupang Eats,2025-12-02 18:07:22,5,고객센터 대응 최고
Coupang Eats,2025-12-02 17:17:44,1,앞마당 열어주는 쿠팡 더 이상 사용하면 안됨
Coupang Eats,2025-12-02 16:52:50,1,사용이 불편하며 사용자 정보 유출에 대한 대응 및 대처가 미흡한 앱입니다.
Coupang Eats,2025-12-02 16:36:55,1,개인정보 유출되서 탈퇴함 다시는 쿠팡 이옹안함
Coupang Eats,2025-12-02 16:27:40,5,너무 편리하고 고마운 앱입니다 ^^
Coupang Eats,2025-12-02 16:19:20,5,배민 불매 때문에 배달 않되는곳이 많았는데 이제 부담없이 주문하게 됐네요
Coupang Eats,2025-12-02 14:28:39,5,할인쿠폰 많이 줘서 좋습니다.
Coupang Eats,2025-12-02 14:12:10,5,배민 망하고 쿠팡 흥해라~.~
Coupang Eats,2025-12-02 13:57:10,1,상담사님이 불친절하게 말하는데 기분이 안좋네요
Coupang Eats,2025-12-02 13:13:31,4,전체적으로 매우 만족입니다
Coupang Eats,2025-12-02 12:10:18,5,정확한 배달 너무 좋아요
Coupang Eats,2025-12-02 11:06:03,5,잘 이용하고 있습니다.
Coupang Eats,2025-12-02 08:22:14,5,잘 활용하고 있습니다. 쿠폰도 자동적용 되고 좋아요~
Coupang Eats,2025-12-02 06:16:56,5,솔직히 쿠팡이츠 아니였으면 배민에서 계속 올라가는 미친 배달비 계속 내야했었음 배달비 무료는 신의 한수임
Coupang Eats,2025-12-02 03:06:32,2,결제 방식이 ... 앱카드 결제가 안되네. 카드 등록해서 쓰거나 쿠페이 쓰거나 어쨌든 카드를 등록한 후에 써야하는 게 상당히 귀찮음.
Coupang Eats,2025-12-02 03:05:07,5,가끔씩 잘 사용해요.
Coupang Eats,2025-12-01 23:46:20,5,쿠팡이츠는 최고입니다
Coupang Eats,2025-12-01 23:17:14,5,진짜 쿠팡이 짱이다. 쿠팡이여 영원하라.
Coupang Eats,2025-12-01 23:10:29,1,정보 털린 거 열받음.
Coupang Eats,2025-12-01 22:59:28,5,하루 세끼+디저트까지 이용할정도로 배민vvip인데 쿠팡이츠로 갈아탑니더 이용료저렴하고 할인도되는 이츠 굿 지금처럼만 쭉갔음 좋겠어요 배민진짜 괘씸해서 안쓰게됨
Coupang Eats,2025-12-01 22:38:42,5,잘 쓰고 있어요 ㅎㅎ
Coupang Eats,2025-12-01 21:38:13,1,개인정보 유출되서 탈퇴합니다.
Coupang Eats,2025-12-01 21:07:10,5,배민에서 쿠팡으로 갈아탓어요~ㅎ 음식조리대기 시간이 없어서 라이더님들 배달 엄청 빠르고 따뜻한음식을 머글수있어서 좋네요~
Coupang Eats,2025-12-01 20:22:35,5,항상 이용하고있습니다
Coupang Eats,2025-12-01 18:44:59,5,무료배송으로 신속한 배달 굿굿
Coupang Eats,2025-12-01 18:30:29,5,요즘 1인식사도 무료배달이라 너무 좋습니다
Coupang Eats,2025-12-01 17:54:41,5,아주 잘 먹었습니다.
Coupang Eats,2025-12-01 17:01:10,5,잘 사용하고 있습니다
Coupang Eats,2025-12-01 14:05:36,5,편하게 배달시킬수 있어 쿠폰 활용이 편해요
Coupang Eats,2025-12-01 13:28:12,1,쿠팡 개인정보 털려서 자꾸 모르는 사람한테 전화오고 불안해서 쿠팡 더이상 안쓸겁니다 도데체 중국인 직원을 왜뽑는 건지 이해불능
Coupang Eats,2025-12-01 12:51:11,5,자주이용하는 앱입니다. 좋아요~
Coupang Eats,2025-12-01 12:25:06,1,"자주 사용하고 있는데요, 어느 날 음식점에서 음식과 콜라를 주문했는데 콜라가 누락되어 왔습니다. 그래서 쿠팡이츠에 누락음식 관련해서 환불이 있더라고요. 콜라를 환불받았는데 2000원인 콜라값이 왜 1912원만 환불처리가 된거냐 상담사에 물어보니 매장자체에서 와우회원 1000원 할인이 들어가 전채음식값에서 천원어치 지분이 빠져서 그렇다네요 나머지민 '소액' 88원 을 쿠폰으로 환불드릴까요? 라는데 받고싶겠습니까? 왜 가게에서 실수한걸 쿠팡에서 다른말로 변명하고 피해는 제가 받아야하는지 모르겠네요 자주써왔지만 진짜 실망입니다"
Coupang Eats,2025-12-01 11:56:20,1,배달 불가 지역이라
Coupang Eats,2025-12-01 05:08:18,5,항상 잘되길 응원합니다
Coupang Eats,2025-12-01 00:39:09,1,"사용자가 실수로 터치하면 바로 결제되는 시스템, 주문취소버튼은 만들어두지 않는 덜만들어진 어플리케이션"
Coupang Eats,2025-11-30 23:47:26,5,쿠폰마니좀 주세요~
Coupang Eats,2025-11-30 23:29:13,1,배송기사 컴플레인 걸었는데 후속 조치도 안 알려주시고 대응이 많이 실망이네요. 완전 나몰라라식이라 그 배송기사분 또 마주칠까 자주 시킨 식당도 못 시킬 것 같아요. 배달기사 교육을 잘 시키시든 아니면 조치를 더 좋은 방향으로 바뀌길 바랍니다...
Coupang Eats,2025-11-30 22:27:17,5,너무최고 다들알자너요ㅋㅋ
Coupang Eats,2025-11-30 21:45:57,5,주문해서 편하게 배달 받아서 먹으니 좋아요.
Coupang Eats,2025-11-30 21:12:30,1,배달중에 음식물 손상으로 부분취소해준다더니 일주일 후에 들어가서 확인해도 취소가 안되어있음. 상담원 전화했더니 그때서야 처리하겠다고 함. 결국 사용자가 깜빡하고 확인 안하면 취소건은 그냥 결제된다는 이야기. 과연 이렇게 사라진 금액들이 얼마일지 상상할 수도 없음.
Coupang Eats,2025-11-30 21:02:27,5,처음으로 맛있게 먹엇어요
Coupang Eats,2025-11-30 20:45:56,5,쿠팡멤버쉽과 연동된다는 점이 훌륭
Coupang Eats,2025-11-30 20:24:22,5,선택에 후회없는 결정 입니다
Coupang Eats,2025-11-30 20:19:17,5,배달비가 안들어서 좋아요
Coupang Eats,2025-11-30 19:52:30,5,쿠팡을 이용하신다면 강력추천하는 배달앱입니다
Coupang Eats,2025-11-30 19:50:33,5,첫 배달시 할인 해택이 많아서 좋습니다! 배달도 빨리왔어요~
Coupang Eats,2025-11-30 19:43:12,5,배달어플 1등 !!
Coupang Eats,2025-11-30 19:13:17,1,역대 최악 개선없음 소통 불통 주문리뷰 오류 오작동부터 슬슬 보입니다
Coupang Eats,2025-11-30 19:05:15,5,쿠팡은 고객 입장에서 서비스 최고 👍 일하시는 분들도 배려 바랍니다.
Coupang Eats,2025-11-30 19:03:50,4,음식이좀늦게오는거빼믄쓸만함
Coupang Eats,2025-11-30 18:21:34,5,항상 유용하게 잘사용하고 있음
Coupang Eats,2025-11-30 18:20:17,5,쿠폰 매일줌 이벤트 빵빵하고 주문빠르고 베달오시는 분 위치까지 보임ㅎㅎ
Coupang Eats,2025-11-30 18:07:11,5,또 주문할께요...
Coupang Eats,2025-11-30 17:01:48,5,항상 느끼하지도 않고 맛있네요.
Coupang Eats,2025-11-30 15:26:29,5,좋아요 배민보다 백배
Coupang Eats,2025-11-30 15:06:17,5,다들 아시잖아요!!👍👍👍
Coupang Eats,2025-11-30 14:44:20,5,맛있게 먹었어요 아버지가 좋아하네요
Coupang Eats,2025-11-30 14:04:00,5,할인쿠폰이 많아 좋아요
Coupang Eats,2025-11-30 12:18:35,4,개인정보 유출만 좀 안됐으면.....
Coupang Eats,2025-11-30 12:09:56,5,간단하고 편리하고 잘쓰고있습니다
Coupang Eats,2025-11-30 10:29:33,5,사용이 편하게 되어 있어 쓸만합니다
Coupang Eats,2025-11-30 08:37:06,5,네이버페이 도입해주세요
Coupang Eats,2025-11-30 07:07:01,5,쿠팡이츠 이용하기 편하고 좋아요.
Coupang Eats,2025-11-29 22:46:48,5,배달빠르고 무료배달 좋아요
Coupang Eats,2025-11-29 22:37:23,5,"빠르고, 많은곳이 등록되어 있어서 찾기 좋았습니다~"
Coupang Eats,2025-11-29 21:55:41,5,쿠팡이랑 같이 쓰면 좋아요
Coupang Eats,2025-11-29 21:52:24,5,쿠팡이츠 최곱니다👍
Coupang Eats,2025-11-29 21:41:08,5,좋아요.... . . .
